3423612;371;10114;2013-01-30T07:45:45;amex;3797 2886 9038 850;Mcintyre Erick;erimcintyre5798;Er.MCINT8783@gmail.com;1996-10-01;2760 Edward Barron;Little Rock;United States;72145 ;AR;(701) 198-4889;Black & Decker 16" 3.4 Amp Powered Handsaw With Storage Bag;;
3423616;147;10220;2013-01-29T06:55:48;visa;4104 5004 0613 0704;Huffman Jose;josehuffman8976;Jo.HUFFMAN8931@gmail.com;1975-01-29;4085 Wieland;Tempe;United States;85033;AZ;(989) 561-4531;Bostitch 26 Gallon;;
3423617;589;10208;2013-01-03T01:05:04;visa;4327 9730 5076 2398;Boyle Frederick;fredericboyl9614;Frede.BO4513@yahoo.com;1971-09-11;583 Bissell;Dallas;United States;75680;TX;(615) 926-0371;Edsal Heavy-duty Workbench;;
3423618;967;10031;2013-01-08T12:00:38;maestro;6762 0929 7745 1311;Steele Shiloh;shilste1353;Shilo.STEELE7055@hushmail.com;1975-10-28;3683 38th;Evansville;United States;47755;IN;(917) 980-9263;Black & Decker 20-volt Matrix Drill;;
3423620;907;10336;2013-01-01T01:53:24;instapayment;6390 0420 4417 0287;Jackson Nahla;nahlajac1350;Nahl.JACKSO8319@yahoo.com;1994-10-13;9387 Kennedy Division St;Arlington;United States;76840;TX;(937) 622-5291;Ad Tech Multi-temp Full Size 4" Glue Sticks;;
3423626;932;10028;2013-01-03T06:21:25;mastercard;5579 1178 8636 3045;Burke Kiersten;kierstebu4482;Kier.BU1627@yahoo.com;1955-04-16;672 Wall;Spokane;United States;99228;WA;(901) 147-8379;Black & Decker 1/4 Sheet Finisher Sander;;
3423637;75;10242;2013-01-12T08:50:13;amex;3433 0651 8105 843;Haynes Serena;serenahay4549;Serena.HAY4893@yahoo.com;1970-06-06;7387 Crilly;Savannah;United States;31352;GA;(941) 514-1207;Dremel Universal Drywall Jab Saw Blade;;
3423648;354;10348;2013-01-01T06:00:51;instapayment;6375 1520 0942 4782;Lewis Ahmad;ahmlewis6483;Ahmad.LEWIS2643@hushmail.com;1998-05-31;7823 Edward;Stockton;United States;95392 ;CA;(253) 158-9428;Black And Decker 1/2" 7-amp Variable Speed Drill;;
3423653;629;10182;2013-01-22T01:46:03;maestro;6763 6097 0151 3832;Parks Leila;leilapar8080;Leil.PAR5959@mail2web.com;1951-07-17;2378 Nettleton;Cedar Rapids;United States;52225;IA;(309) 897-6138;Imaginisce I-bond Mini Glue Sticks;;
3423654;837;10114;2013-01-04T03:57:14;visaelectron;4175 0003 9667 5127;Stark Tatum;tatumsta4237;Tat.STAR8926@hushmail.com;1990-06-02;804 Avenue F;Coral Springs;United States;33048;FL;(762) 668-9915;Black & Decker 16" 3.4 Amp Powered Handsaw With Storage Bag;;
3423655;698;10015;2013-01-03T11:02:41;instapayment;6392 2665 3043 3655;Foreman Courtney;courforem2856;Cour.FOR6352@hushmail.com;1991-10-16;6871 Mac Chesney;Lansing;United States;48842;MI;(864) 808-9404;Bostitch 18v Lithium Drill/impact Combo Kit;;
3423659;969;10079;2013-01-29T12:11:31;mastercard;5576 8599 4095 8376;Carroll Claire;clairecarrol8330;Cla.CARR7734@mail2web.com;1977-10-17;2362 Crystal Creek;Virginia Beach;United States;23841;VA;(228) 507-9355;Bostitch Prozhoze;;
3423661;991;10220;2013-01-08T11:32:19;instapayment;6395 5475 8359 0773;Hampton Ryder;rydhampton7037;Ryd.HAMP6784@gmail.com;1961-06-15;9359 Kenosha;Savannah;United States;31318;GA;(618) 767-8502;Bostitch 26 Gallon;;
3423665;9;10126;2013-01-30T10:40:49;mastercard;5226 2076 7678 1154;Horne Tori;tohorne2545;To.HOR5041@gmail.com;1999-04-19;4028 Julian;Seattle;United States;98885;WA;(845) 179-3191;All Purpose Stik Glue Sticks;;
3423667;131;10231;2013-01-10T10:27:31;instapayment;6379 1552 9783 8494;Pollard Catalina;catapoll6746;Catalin.POLLA4230@mail2web.com;1988-05-04;1982 Le Moyne;Laredo;United States;78076;TX;(773) 434-0999;Black & Decker 6.0 Amp Accu-trak Saw With Smartselect;;
3423670;105;10110;2013-01-12T08:15:33;visaelectron;4844 5278 9957 2345;Tanner Messiah;messitann7423;Messia.TAN4580@live.com;1962-12-13;5013 Old Town;Springfield;United States;01118;MA;(503) 949-1579;Bostitch Air Tool Inline Lubricator;;
3423675;840;10242;2013-01-19T11:26:47;visa;4222 6534 8041 8946;Strickland Seamus;seastrickl6273;Seam.STRICK7717@yahoo.com;1973-08-03;9130 73rd;Milwaukee;United States;53150;WI;(956) 516-8992;Dremel Universal Drywall Jab Saw Blade;;
3423679;265;10276;2013-01-23T08:49:25;amex;3767 5080 4206 395;Thornton Justus;justusthornt5468;Justus.THOR5619@mail2web.com;1960-12-21;8993 Merrill;Little Rock;United States;72199 ;AR;(509) 248-1196;Black And Decker 3/8" 5-amp Variable Speed Drill With Keyless Chuck;;
